Day,Month,Year,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
27,11,2020,18.55,HSG,18.7,18.85,18.35,7381470
26,11,2020,18.5,HSG,17.95,18.5,17.85,7787550
25,11,2020,18.1,HSG,18.7,18.9,18.1,8425700
24,11,2020,18.7,HSG,17.95,18.7,17.95,13418850
23,11,2020,17.7,HSG,17.7,18,17.5,19176000
20,11,2020,18.4,HSG,18.85,18.9,18.3,15908080
19,11,2020,18.8,HSG,18.8,19.05,18.55,14992660
18,11,2020,19.05,HSG,19.1,19.45,18.75,13267560
17,11,2020,19.1,HSG,18.35,19.15,18.2,11754310
16,11,2020,18.15,HSG,18.05,18.3,17.85,15085220
13,11,2020,18.05,HSG,17.7,18.4,17.65,9655010
12,11,2020,17.8,HSG,17.9,17.95,17.55,6687640
11,11,2020,17.8,HSG,17.4,17.9,17.2,16192240
10,11,2020,17.2,HSG,18,18,17.15,13940600
9,11,2020,17.65,HSG,17.1,17.7,16.95,15114550
6,11,2020,16.85,HSG,16.25,16.95,16.15,15209530
5,11,2020,16.2,HSG,16.45,16.65,16.2,10071210
4,11,2020,16.45,HSG,16.6,16.75,16.4,10461110
3,11,2020,16.5,HSG,16.1,16.7,16.05,20514780
2,11,2020,15.95,HSG,15.1,15.95,15,15608300
30,10,2020,15,HSG,15,15.2,14.8,8952690
29,10,2020,14.8,HSG,14.75,15.05,14.6,8660480
28,10,2020,14.95,HSG,15.25,15.3,14.9,11073480
27,10,2020,15.35,HSG,15.25,15.4,15.15,7931000
26,10,2020,15.25,HSG,15.4,15.8,15.25,10384870
23,10,2020,15.4,HSG,15.5,15.7,15.4,10970380
22,10,2020,15.45,HSG,15.25,15.5,15.15,8271810
21,10,2020,15.2,HSG,15.8,15.8,15.1,9246450
20,10,2020,15.6,HSG,14.65,15.6,14.6,12964110
19,10,2020,14.65,HSG,15.1,15.15,14.5,12948750
16,10,2020,15.05,HSG,15.1,15.35,14.95,10840330
15,10,2020,15.1,HSG,15.3,15.45,15.05,8383990
14,10,2020,15.1,HSG,15.4,15.45,15,11996590
13,10,2020,15.35,HSG,15.7,15.95,15.25,13967970
12,10,2020,15.8,HSG,15.85,16.1,15.6,15016420
9,10,2020,15.7,HSG,15.85,15.9,15.65,5523920
8,10,2020,15.75,HSG,16,16.1,15.65,12025260
7,10,2020,15.8,HSG,15.65,16.4,15.5,17773570
6,10,2020,15.75,HSG,15.6,15.8,15.3,9015710
5,10,2020,15.45,HSG,15.6,15.85,15.35,11406940
2,10,2020,15.45,HSG,15.9,15.9,14.85,21207030
1,10,2020,15.8,HSG,15.9,16.45,15.65,10976300
30,9,2020,15.65,HSG,15.3,15.85,14.85,15238890
29,9,2020,15.2,HSG,16.1,16.15,15.2,23085250
28,9,2020,16.1,HSG,15.25,16.25,15.25,16925760
25,9,2020,15.25,HSG,15,15.4,14.8,13614170
24,9,2020,14.95,HSG,14.05,15.1,14,22459970
23,9,2020,14.2,HSG,14.35,14.4,14.05,9751050
22,9,2020,14.2,HSG,13.8,14.45,13.75,15453370
21,9,2020,13.9,HSG,14.45,14.5,13.9,14618670
18,9,2020,14.2,HSG,13.45,14.2,13.45,11800110
17,9,2020,13.45,HSG,13.75,13.9,13.3,17095750
16,9,2020,13.8,HSG,13,13.9,12.95,20591650
15,9,2020,13,HSG,13,13.4,12.9,16710520
14,9,2020,12.7,HSG,11.95,12.7,11.95,25808340
11,9,2020,11.9,HSG,11.85,12.05,11.85,7748240
10,9,2020,11.85,HSG,12.25,12.25,11.85,6873130
9,9,2020,12.05,HSG,11.5,12.2,11.5,11379420
